beyonce,93689641,1842204
kendalljenner,73639706,1505670.75
caradelevingne,37166656,795592.4167
gigihadid,28989850,1172619.167
mirandakerr,10675882,173494.0833
jenselter,10649970,202361.25
claudiaalende,8452233,108755.0833
marianodivaio,5378819,163285.9167
marianodivaio,5378819,163285.9167
kekepalmer,4767790,34204.33333
oliviapalermo,4620056,52668.25
songofstyle,4359487,29195.58333
sincerelyjules,4321417,44708.25
iamnaomicampbell,3647931,37381.25
tuulavintage,2528798,52013.16667
whowhatwear,2348014,8717.333333
camilacoutinho,2137442,30402.41667
iamgalla,1962659,52730.16667
cosmopolitan,1944868,14863.08333
riccardotisci17,1891676,13305
sqwhat,1848658,23141.08333
elegant_divas,1650103,2088.333333
weworewhat,1613987,10055.33333
lenaperminova,1384065,30103.33333
lovelypepa,1332467,24490.25
amberfillerup,1307559,56982.5
thiswildidea,1251651,46127.33333
donatella_versace,1179646,13198.5
wendyslookbook,1073094,10012.58333
juliahengel,1048979,17521.5
carineroitfeld,995708,5345.25
blaireadiebee,982692,13196.33333
somethingnavy,966051,17874.41667
thenativefox,949994,8427
helenabordon,915571,5302.416667
laurenconrad_com,904388,7477.5
bettyautier,884203,10336.16667
mertalas,882473,18977.75
street_style_paris,874339,6221.083333
fiftyshadesmovie,867134,45160.33333
rachparcell,858827,11188.75
hellyluv,853154,13227.58333
rvcjinsta,833633,8620.083333
hellofashionblog,825597,15913.66667
hellofashionblog,825597,15914.58333
chrisellelim,813851,10620.16667
happilygrey,783491,10672.66667
rumineely,707812,8092.666667
caraloren,697959,11577.58333
ilanusglazer,648862,30598.33333
luisafere,633163,7235.166667
smashleybell,612606,7971
thehautepursuit,596420,6076.583333
bat_gio,595574,4629.083333
sjpcollection,579774,7927
wwd,559381,1310.666667
vivaluxuryblog,555752,15352.5
nadiaaboulhosn,508224,11913.83333
gabifresh,455968,7727.416667
feralcreature,450284,8129.083333
chef_balqees,439478,102.1666667
brooklynblonde1,434563,5659.833333
brooklynblonde1,434561,5659.833333
emilyschuman,390395,4706.333333
misvincent,387963,4354.916667
the_salty_blonde,376776,13317.16667
giizeleoliveira,364668,10946
damselindior,362621,3936.916667
kattanita,354122,3556
walkinwonderland,331827,4361.583333
tommyton,327747,1659.25
lusttforlife,326022,4221.5
zanitazanita,323680,2120
so___whatt,288615,7641.75
thefashionguitar,272898,1501.75
eppcoline,263527,6942.833333
alexanderkenton,246792,4491.333333
girlwithcurves,243478,3010.666667
ngoldenberg,235491,4677.75
johnstanmeyer,235051,3563.916667
adenorah,233178,7275
arni_coraldo,228042,4548.5
mariannnan,225535,5845.166667
lateafternoon,215786,2704.666667
makemylemonade,215730,3574.666667
mattblack_blackmatt,214772,2689.583333
justinliv,214024,8349.083333
eatsleepwear,212350,1460.333333
jahaze_aroos,209584,150.5
yoyokulala,209240,5473.666667
rozalia_russian,203039,3439.666667
thelsd,194840,2972.583333
lucywilliams02,193385,2428.583333
mattcrump,188608,4808.583333
nicolettareggio,175580,2282
youngadventuress,174525,3110.833333
soniaeryka,167579,3726.416667
apairandaspare,164223,2816.5
reallykindofamazing,160061,3097.25
littleblackboots,156974,5106.583333
shalicenoel,156711,1799.916667
matthewzorpas,155334,2828.833333
matthewzorpas,155334,2828.833333
styleheroine,150103,1871.666667
yara_michels,136994,2797.416667
a_southerndrawl,136220,2027.333333
livpurvis,132739,3300.416667
fullerfigurefullerbust,132449,896.25
lonestarsouthern,130771,4107.583333
zosuen,129072,3362.666667
zosuen,129072,3362.666667
indiaroseco,128191,1569.416667
wideeyedlegless,125292,1830.083333
hamishbowles,122043,1154.916667
taylortippett,119749,2993.25
kenzasmg,119525,1382
kenzasmg,119525,1382.083333
chamsko.pl,112498,4735.416667
veronikaheilbrunner,111307,1292.333333
klasse14,111198,2228.833333
tinaleung,111087,736.0833333
zannarassi,110682,805.25
honestlywtf,110208,2343.5
freddieharrel,108441,3709.333333
daphnemodeandthecity,107162,2481.5
bexargoods,105494,923.1666667
jesse_burke,102536,288.5
stacykranitz,101831,591.4166667
sylviahaghjoo,97303,1298.666667
simplyabudhabi,95641,2440.083333
thefrugality,94635,1568
racquelnatasha,92870,1625
trineswardrobe,88475,973.75
dapperlou,85293,1678.75
kelsey_white,81153,1444.083333
larisacostea,79701,1311.5
ellemayleckenby,78003,3623.583333
ellemayleckenby,78003,3623.583333
mduenasjacobs,76468,770.9166667
frassyaudrey,75966,1984.333333
frassyaudrey,75966,1984.333333
popbee,74244,435.4166667
krystalschlegel,74174,980.1666667
thekeyofstyle,72700,2019.666667
retroflame,72312,1219.666667
retroflame,72312,1219.666667
marieclaireuk,72170,172
naijayarnz,71628,381
nailkaterina,70594,231.4166667
ebadolrahman,69164,864.1666667
theserenagoh,67881,2742.75
theadventurehandbook,67198,1404.333333
truelane,65209,1885.666667
shewearsfashion,64253,548.4166667
elleiconlee,64238,480.5833333
aylinstudiio,63961,152
kyla.shay,63493,2632.083333
timlampe,62757,669
whitneybearr,61472,1038.416667
tokyobanhbao,59492,935.6666667
kendrickbrinson,59256,201.5833333
brettbrooner,58730,835.5
adelinerapon,58443,572.1666667
onesmallblonde,57928,1192.666667
nationtv22,56412,226.8333333
allmyfriendsaremodels,56284,466.9166667
manofmanytastes,56245,481.8333333
mapasekamokwele,52944,429.6666667
alicezielasko,51382,1203.916667
thomas_prior,49506,835
caviarandcashmere,49151,1007.083333
wearetwinset,48504,614.8333333
joshualott,48208,778.3333333
hautehouseflower,46814,246.0833333
marthaward,46716,607.5
mallorybby,46649,1141.75
