fresherthanchris,3798,4230,https://instagram.fsnc1-5.fna.fbcdn.net/t51.2885-19/s150x150/16790199_257761948001043_1968817385058074624_a.jpg,10,2,6.16666666667,153,57,119.833333333
jakerosenberg,68421,4002,https://instagram.fsnc1-5.fna.fbcdn.net/t51.2885-19/10986124_1533979920197853_2134091306_a.jpg,18,4,10.5,1084,323,682.916666667
beardsofcanberra,0,0,,18,4,10.5,1084,323,682.916666667
rosielondoner,301989,4113,https://instagram.fsnc1-5.fna.fbcdn.net/t51.2885-19/s150x150/13643499_1069289376495969_1835629985_a.jpg,125,28,70.3333333333,11574,3964,7398.08333333
girlwithcurves,262726,2135,https://instagram.fsnc1-5.fna.fbcdn.net/t51.2885-19/s150x150/15623843_1824607724486540_7617407808383746048_a.jpg,152,4,37.0833333333,9222,1501,3469.66666667
fruzans_beauty,97301,325,https://instagram.fsnc1-5.fna.fbcdn.net/t51.2885-19/s150x150/17934479_1832406380416259_4677080537641254912_n.jpg,198,22,67.3333333333,21698,1042,6438.16666667
smfblog,0,0,,198,22,67.3333333333,21698,1042,6438.16666667
kevinruss,261547,4879,https://instagram.fsnc1-5.fna.fbcdn.net/t51.2885-19/s150x150/14288087_1606150633012457_50053486_a.jpg,96,10,44.0833333333,11039,4124,6299.75
itsafterfive,3983,363,https://instagram.fsnc1-5.fna.fbcdn.net/t51.2885-19/s150x150/14487252_1833801793530937_1818137640117993472_a.jpg,20,5,10.0,255,113,186.25
ctbites,17573,801,https://instagram.fsnc1-5.fna.fbcdn.net/t51.2885-19/11351712_1631817693725259_7260929_a.jpg,23,2,7.91666666667,1309,136,316.166666667
curvygirlchic,68676,1542,https://instagram.fsnc1-5.fna.fbcdn.net/t51.2885-19/11313764_504760103015010_305525213_a.jpg,43,10,24.25,928,212,622.333333333
doctor_kwon,0,0,,43,10,24.25,928,212,622.333333333
awesomeamsterdam,22240,1593,https://instagram.fsnc1-5.fna.fbcdn.net/t51.2885-19/10684159_293533200846459_36610615_a.jpg,12,0,6.58333333333,729,334,493.416666667
eatpraywearlove,14,6,https://instagram.fsnc1-5.fna.fbcdn.net/t51.2885-19/s150x150/16583982_376907536016538_5592018600161443840_a.jpg,0,0,0,0,0,0
shopbop,718080,3614,https://instagram.fsnc1-5.fna.fbcdn.net/t51.2885-19/s150x150/12543085_1657266497894470_4143841_a.jpg,72,10,31.25,5151,781,2536.41666667
kcdworldwide,58369,3318,https://instagram.fsnc1-5.fna.fbcdn.net/t51.2885-19/11950606_1635927629998284_68331775_a.jpg,14,1,7.0,426,119,218.25
harpersbazaarus,2912748,5298,https://instagram.fsnc1-5.fna.fbcdn.net/t51.2885-19/s150x150/17077124_1274236186024320_8877585263530868736_a.jpg,134,30,84.3333333333,21995,5589,13042.6666667
christingc,16318,4354,https://instagram.fsnc1-5.fna.fbcdn.net/t51.2885-19/s150x150/17587054_188987108272496_2134451922654986240_a.jpg,14,1,4.66666666667,1135,61,187.75
kirkomade,0,0,,14,1,4.66666666667,1135,61,187.75
thelovelythingsblog,1138,502,https://instagram.fsnc1-5.fna.fbcdn.net/t51.2885-19/s150x150/13556804_1647383868915902_469632410_a.jpg,18,6,10.5833333333,181,95,137.833333333
thegirlfromfuss,39394,915,https://instagram.fsnc1-5.fna.fbcdn.net/t51.2885-19/s150x150/16789134_330603610670734_926552736420331520_a.jpg,29,2,11.0,814,388,583.75
pdy,63352,1932,https://instagram.fsnc1-5.fna.fbcdn.net/t51.2885-19/s150x150/17587161_184401658734947_7652159282128879616_a.jpg,52,1,17.3333333333,1459,507,832.416666667
closcadesign,1659,137,https://instagram.fsnc1-5.fna.fbcdn.net/t51.2885-19/s150x150/15101632_215627755548052_176322976029868032_a.jpg,6,0,2.33333333333,136,68,98.5
denver.darling,18063,533,https://instagram.fsnc1-5.fna.fbcdn.net/t51.2885-19/s150x150/12599003_920793708015788_506748599_a.jpg,44,12,31.3333333333,707,234,474.333333333
