ID,followers,posts,avatar,max_comments,min_comments,mean_comments,max_likes,min_likes,mean_likes
ainecarlin,12351,1952,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/1922190_1470424739911723_1876988821_a.jpg,21,0,6.16666666667,456,171,304.416666667
milasuchnyc,13175,918,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17818732_673514092841303_2918797179508228096_a.jpg,57,9,35.25,841,36,291.583333333
connfoodandfarm,12822,1664,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/11875543_672383672896697_500854155_a.jpg,4,0,1.66666666667,684,71,160.333333333
alexioso,90907,740,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17268256_1387654234619971_3938059366288064512_a.jpg,38,5,20.1666666667,487,185,296.583333333
vmagazine,1255199,5019,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/16583936_967715733362987_4812516958316527616_a.jpg,45,9,33.75,4433,1640,2838.25
lovebrownsugar,36493,3573,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/15035777_1797797767165228_6464362226466684928_a.jpg,40,2,12.4166666667,633,76,356.583333333
sweetwaterpete,18721,728,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/16464827_1441784402499712_7619420769361068032_a.jpg,18,1,6.58333333333,528,98,283.75
eleanorhardwick,14489,811,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/15624352_360600127652789_4535465613237157888_a.jpg,13,0,3.25,490,165,276.583333333
aviviwang,5300,2400,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/12357281_1098557983522998_1975445878_a.jpg,9,0,1.41666666667,80,15,40.5833333333
jaefields,12081,262,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/12093460_492004150924425_2090658824_a.jpg,12,3,7.5,274,137,193.0
rosiehw,7326821,2397,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/16230204_1331135450295122_118740736039452672_a.jpg,1898,121,501.0,263222,50614,130537.916667
