styleheroine,150103,5522,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/14677183_1838081996424437_3879189211634466816_a.jpg,49,2,16.0833333333,3895,370,1871.66666667
thenativefox,949994,419,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/15624574_1064392310335796_3051462723507322880_a.jpg,105,31,65.8333333333,11338,6394,8427.0
yasalamfashionblog,46466,2794,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/14606965_213699149039494_419853003307089920_a.jpg,46,8,20.75,769,398,545.0
sylviahaghjoo,97303,2226,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/14547589_1181233421970802_9274771422314496_a.jpg,63,8,30.3333333333,2406,809,1298.66666667
yoyokulala,209240,1407,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/13702975_272802456428841_345416311_a.jpg,71,12,40.3333333333,7612,4213,5473.66666667
giizeleoliveira,364668,2333,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/14624280_100234263795441_1837109958068404224_a.jpg,112,19,56.4166666667,17549,3653,10946.0
indiaroseco,128191,1072,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/14596649_153649748471609_5885721052411068416_a.jpg,33,4,13.0833333333,2836,406,1569.41666667
thefashionguitar,272898,6025,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/11820517_952281658188438_2143666903_a.jpg,57,11,27.3333333333,2188,499,1501.75
helenabordon,915571,5312,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/15625071_224208701321674_2041584520578203648_a.jpg,316,19,79.25,12602,1330,5302.41666667
frassyaudrey,75966,4677,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/15048259_581889565348272_6500815885945536512_a.jpg,38,14,23.6666666667,2329,1777,1984.33333333
labellemel31,3378,417,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/16122439_196729577466191_2058465180865527808_n.jpg,44,14,25.8333333333,123,45,83.3333333333
dressingoutsidethebox,17209,199,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/12798141_1242345705794071_787268303_a.jpg,43,4,20.75,505,163,342.583333333
karenbritchick,25062,1728,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/14582388_1696110647385407_22522207204802560_a.jpg,78,12,44.25,815,315,506.333333333
styleontarget,13149,1063,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/11887260_478969438951666_1018915017_a.jpg,12,2,5.33333333333,344,61,153.0
songofstyle,4359487,7266,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/15338563_562846357253321_7750332261601378304_a.jpg,451,95,313.416666667,51465,9528,29195.5833333
juliahengel,1048979,4512,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/10995200_456119504538377_940951982_a.jpg,340,39,192.333333333,25068,2979,17521.5
sincerelyjules,4321417,4759,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/15306584_1817826551828727_8387062713716572160_a.jpg,471,155,276.416666667,65043,23803,44708.25
rachparcell,858827,3420,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/16110384_260415981055703_6160600320859701248_a.jpg,254,51,115.583333333,16596,6179,11188.75
happilygrey,783491,4678,https://instagram.fsnc1-2.fna.fbcdn.net/t51.2885-19/s150x150/13551581_126719967754991_877019205_a.jpg,360,45,137.25,16829,6179,10672.6666667
